franchise,name,IGN_rating,IGN_title,IGN_link,Gamespot_rating,Gamespot_title,Gamespot_link,Game_Rant_rating,Game_Rant_title,Game_Rant_link,PC_Gamer_rating,PC_Gamer_title,PC_Gamer_link,IGN_text,Gamespot_text,Game_Rant_text,PC_Gamer_text,Average_Score,Verdict_Sum,IGN_visited,Gamespot_visited,Game_Rant_visited,PC_Gamer_visited,rating_count
Agarest ,Agarest - Additional-PP Pack 1 DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Additional-PP Pack 2 DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Additional-Points Pack 2 DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Additional-Points Pack 3 DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Additional-Points Pack 4 DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Additional-TP Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Basic Adventure Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Carrot-and-Stick Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Dull-Things Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Fallen Angel Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Fishy Pack 1 DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Fishy Pack 2 DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Jack Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Legendary Adventure Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Legendary-Monster Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Magic Fight Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Playful Cat Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Rebellious Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Rumored Adventure Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Seasoned-Breeder Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Secret-Society Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Tonight's Dinner DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Top-Breeder Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Ultimate Equipment Pack DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Unlock Gallery DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Unlock Voices DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Agarest ,Agarest - Upgrade Pack 1 DLC,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Age of Wonders,Age of Booty,7.5,Age of Booty Review - IGN,https://www.ign.com/articles/2008/11/18/age-of-booty-review,7.0,Age of Booty Review - GameSpot,https://www.gamespot.com/reviews/age-of-booty-review/1900-6199606/,,,,,,,"If you have a group of like-minded friends, Age of Booty is an addictive online strategy game that rewards communication and teamwork. It’s simple to grasp, but there’s enough depth and balance to please hardcore players. However, the lack of folks online and a single-player mode damaged by uncooperative AI teammates who seem to be lone wolves more than a band of pirate brothers hurt the experience.","Multiplayer games are fun both online and off. Few games are this easy to pick up and play. Intuitive map editor included. AI-controlled allies occasionally take stupid to a whole new level. Even with lots of different maps, gameplay gets repetitive. ",-,-,7.25,"Multiplayer games are fun both online and off. Intuitive map editor included. AI-controlled allies occasionally take stupid to a whole new level. Even with lots of different maps, gameplay gets repetitive.",1,1,1,1,2
Age of Wonders,Age of Chivalry,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Age of Wonders,Age of Conan - Hyborian Adventures,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Age of Wonders,Age of Conan Rise of the Godslayer,7.9,Age of Conan: Rise of the Godslayer Review - IGN,https://www.ign.com/articles/2010/06/01/age-of-conan-rise-of-the-godslayer-review,8.5,Age of Conan: Rise of the Godslayer Review - GameSpot,https://www.gamespot.com/reviews/age-of-conan-rise-of-the-godslayer-review/1900-6268561/,,,,8.0,Age of Conan: Rise of the Godslayer review - PC Gamer,https://www.pcgamer.com/age-of-conan-rise-of-the-godslayer-review/,"Funcom have put a lot of work into Age of Conan: Rise of the Godslayer, and it shows. There is a great deal of polish to the landscapes, the music is exceptional, and there is simply a lot to do. Where Age of Conan  falls short is in variety, and if reputation grinding is something you cannot abide – and for many MMO players, it is – then Age of Conan: Rise of the Godslayer is not your expansion. For everyone else, the alternate advancement, new dungeons, factions, and the land of Khitai are all good reasons to return to Robert E. Howard’s brutal world.",The new areas are gorgeous and well realized. Excellent new dungeons and boss fights. Great quest writing gets you involved. Awesome new music. Flexible alternate advancement system. Gaining faction favor can be a grind. Meaningful rewards are slow to come. Not much for players between levels 40 and 80. ,-,A mammoth update that caters for mid to high level players. Memorable new lands and quests make up for the lack of PvP.,8.13,"Funcom have put a lot of work into Age of Conan: Rise of the Godslayer. There is a great deal of polish to the landscapes, the music is exceptional, and there is simply a lot to do. The alternate advancement, new dungeons, factions, and the land of Khitai are all good reasons to return to Robert E. Howard's brutal world.",1,1,1,1,3
Age of Wonders,Age of Conan Unchained - EU version,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Age of Wonders,Age of Empires II HD Edition,,,,5.5,Age of Empires II HD Edition Review - GameSpot,https://www.gamespot.com/reviews/age-of-empires-ii-hd-edition-review/1900-6407044/,,,,,,,-,"Includes the great Age of Empires II and its expansion. Solid Steam Workshop support. Multiplayer is a buggy, broken mess. ",-,-,5.5,"Includes Age of Empires II and its expansion. Solid Steam Workshop support. Multiplayer is a buggy, broken mess.",1,1,1,1,1
Age of Wonders,Age of Empires II HD The Forgotten,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Age of Wonders,Age of Empires III Complete Collection,,,,,Age of Empires III: Complete Collection - Review - GameFAQs,https://gamefaqs.gamespot.com/pc/961583-age-of-empires-iii-complete-collection/reviews/140191,,,,,,,-,-,-,-,,,1,1,1,1,0
Age of Wonders,Age of Empires Online,7.0,Age of Empires Online Review - IGN,https://www.ign.com/articles/2011/08/25/age-of-empires-online-review,6.5,Age of Empires Online Review - GameSpot,https://www.gamespot.com/reviews/age-of-empires-online-review/1900-6332682/,,,,6.5,Age of Empires Online review - PC Gamer,https://www.pcgamer.com/age-of-empires-online-review/,"For all its flaws, I can’t help but like Age of Empires Online. Caught somewhere between massively-multiplayer online role-playing game and hardcore competitive real-time strategy, Age of Empires Online delivers some of the most addictive parts of both. Some sloppy mechanics and balance and reward issues detract from the core Age of Empires experience, but not to the point that it's not worth playing. It's definitely worth trying the free experience, because if you like that, the premium packs just make everything better.",Can be enjoyed for hours without spending any money. Almost every quest supports cooperative play. MMO-style rewards keep you hooked. Uniformly great presentation. PVP matchmaking rarely finds appropriate opponents. Enemy AI isn't very bright. Quests are overly repetitive. Need to spend at least $20 to feel like you're playing a complete game. No Skirmish mode at launch. ,-,"Its beautiful, free and addictive to a point, but Age of Empires Onlines battles fail to deliver a challenge",6.67,Can be enjoyed for hours without spending any money. Almost every quest supports cooperative play. Uniformly great presentation. PVP matchmaking rarely finds appropriate opponents. Enemy AI isn't very bright.,1,1,1,1,3
Age of Wonders,Age of Empires: Collector's Edition,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Age of Wonders,Age of Empires: Mythologies,8.6,Age of Empires: Mythologies Review - IGN,https://www.ign.com/articles/2008/11/25/age-of-empires-mythologies-review,8.5,Age of Empires: Mythologies Review - GameSpot,https://www.gamespot.com/reviews/age-of-empires-mythologies-review/1900-6202405/,,,,,,,"Age of Empires: Age of Kings released two years ago, and it has since been an unsung hero on DS.  Now we’ve got the sequel out, complete with a new publisher, new developer, and expanded design.  The end result?  A game that rivals that of Advance Wars, Final Fantasy Tactics Advance 2, and Disgaea.  Age of Empires has returned to DS, and with it comes more units, more strategy, just as strong of an economy system, and even more to explore within the package.  Multi-card multiplayer, single card multiplayer, hot seat play, Wi-Fi, three campaigns, achievements, over 40 unlockables, and 24 maps.  The battle animations are stronger this year, the overall visuals have received a significant bump, there’s more VO, and far more to see and do within the game.  Age of Empires: Mythologies is indisputably one of the most robust, rewarding, and entertaining strategy games on DS.  It needs to be supported, and it deserves to succeed.  We hope to see the series back again on DS, complete with more than three playable cultures, more customization (map editor?) and even more of what has made this series great.  Until then, we’ve got more than enough to see and do in Mythologies.",Brilliant blend of RTS and turn-based design conventions. Outstanding strategic depth. Lengthy campaign and numerous other modes. Solid interface and presentation values. A little formulaic when it comes to scenario design. ,-,-,8.55,"Age of Empires: Mythologies is indisputably one of the most robust, rewarding, and entertaining strategy games on DS. Multi-card multiplayer, single card multiplayer, hot seat play, Wi-Fi, three campaigns, achievements, over 40 unlockables, and 24 maps. Outstanding strategic depth. Solid interface and presentation values.",1,1,1,1,2
Age of Wonders,Age of Empires: The Age of Kings,,Age of Empires: The Age of Kings - Review - pk.ign.com,https://pk.ign.com/age-of-empires-the-age-of-kings/221776/review/age-of-empires-ds-review,8.2,Age of Empires: The Age of Kings Review - GameSpot,https://www.gamespot.com/reviews/age-of-empires-the-age-of-kings-review/1900-6144202/,,,,,,,-,Engaging turn-based strategy effectively translated from the classic PC series. Five compelling campaigns pack in many hours of gameplay. Dozens of different unit types and unique technologies to research. Great presentation features lively battle sequences and good music. Gameplay's pace can get sluggish in larger battles. Visuals sometimes get too cluttered. ,-,-,8.2,Engaging turn-based strategy effectively translated from the classic PC series. Five compelling campaigns pack in many hours of gameplay. Dozens of different unit types and unique technologies to research.,1,1,1,1,1
Age of Wonders,Age of Fear 2 The Chaos Lord,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Age of Wonders,Age of Mythology Extended Edition,,,,,Age of Mythology: Extended Edition - Review - GameFAQs,https://gamefaqs.gamespot.com/pc/792694-age-of-mythology-extended-edition/reviews/66625,,,,7.7,Age of Mythology: Extended Edition review - PC Gamer,https://www.pcgamer.com/age-of-mythology-extended-edition-review/,-,-,-,"Despite that high price tag, this is a worthy update of what is arguably Ensembles most interesting game.",7.7,"Despite the high price tag, this is a worthy update of what is arguably Ensembles most interesting game.",1,1,1,1,1
Age of Wonders,Age of Wonders III,,,,7.0,Age of Wonders III Review - GameSpot,https://www.gamespot.com/reviews/age-of-wonders-iii-review/1900-6415714/,,,,,,,-,Tactical combat is an enjoyable challenge. Streamlined empire management keeps your focus on fighting. Randomization offers variety without feeling chaotic. Playing the game online may require some firewall configuration. Different races/factions are a little too similar. ,-,-,7.0,Streamlined empire management keeps your focus on fighting. Randomization offers variety without feeling chaotic. Different races/factions are a little too similar.,1,1,1,1,1
Age of Wonders,Age of Wonders Shadow Magic,8.5,Age of Wonders: Shadow Magic Review - IGN,https://www.ign.com/articles/2003/07/31/age-of-wonders-shadow-magic-review,8.7,Age of Wonders: Shadow Magic Review - GameSpot,https://www.gamespot.com/reviews/age-of-wonders-shadow-magic-review/1900-6073277/,,,,,,,"No, Age of Wonders: Shadow Magic isn't radically different from Age of Wonders II. It's still the same game with the same style of gameplay. For that matter, its still pretty much like the original Age of Wonders. But that doesn't mean it isn't fun. I still like this franchise a whole lot, even if it is similar to many of the other ones and I think it's plenty worthy of a look.  There's lots of new stuff to play with, many new units, many new spells, plenty of campaign scenarios, single scenarios, and a random map generator that actually works like it's supposed to. 

If you're still looking for something really different, look elsewhere, but if you're a turn-based strategy fan, especially of those games in the fantasy genre, you shouldn't be disappointed with Triumph's latest.",N/A. . ,-,-,8.6,Age of Wonders: Shadow Magic isn't radically different from Age of Wonders II. It's still the same game with the same style of gameplay. But that doesn't mean it isn't fun. There's lots of new stuff to play with.,1,1,1,1,2
Age of Wonders,Age of Wonders Trilogy Soundtrack,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Age of Wonders,Age of Wonders,,,,8.6,Age of Wonders Review - GameSpot,https://www.gamespot.com/reviews/age-of-wonders-review/1900-2538006/,,,,,,,-,N/A. . ,-,-,8.6,,1,1,1,1,1
Age of Wonders,Age of Wonders 2,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Age of Wonders,Age of Wushu,7.0,Age of Wushu Review - IGN,https://www.ign.com/articles/2013/05/07/age-of-wushu-review,,,,,,,,,,"A generally faithful representation of medieval-fantasy China, Age of Wushu puts a barrier many hours deep between us and enjoying this fairly unique free-to-play MMORPG. As a PvP-focused game, its time-limited cash shop and cultivation skill system makes it inhospitable to free players, yet Age of Wushu brings fresh life to stale genre features, and even gives your character an intriguing, danger-filled life when you're offline.",-,-,-,7.0,Age of Wushu is a free-to-play MMORPG set in medieval-fantasy China. Its time-limited cash shop and cultivation skill system makes it inhospitable to free players. But the game brings fresh life to stale genre features.,1,1,1,1,1
Buzz! The BIG,Buzz! The BIG Quiz,,,,6.2,Buzz!: The BIG Quiz Review - GameSpot,https://www.gamespot.com/reviews/buzz-the-big-quiz-review/1900-6148408/,,,,,,,-,Can be played by up to eight players. simple to pick up. knowingly cheesy presentation. mix of photo- and audio-based questions. No option to tailor the questions to a specific subject. can't set the length of individual games. can't quit out of a game in progress. question repetition begins after a few games. ,-,-,6.2,Can be played by up to eight players. mix of photo- and audio-based questions. No option to tailor the questions to a specific subject.,1,1,1,1,1
Buzz! The BIG,Buzz! The Hollywood Quiz,8.3,Buzz! The Hollywood Quiz Review - IGN,https://www.ign.com/articles/2008/02/14/buzz-the-hollywood-quiz-review,,,,,,,,,,"I feel like this review is wrapping up early, but I really can't tell you too much more. Buzz! The Hollywood Quiz is just as deep and fun as Mega Quiz, and it is a bit more polished in terms of its award show presentation and smoother textures. If you have friends over who like to go toe-to-toe in movie game shows, Buzz! The Hollywood Quiz should be a welcome addition to your repertoire.",-,-,-,8.3,Buzz! The Hollywood Quiz is just as deep and fun as Mega Quiz. It is a bit more polished in terms of its award show presentation and smoother textures.,1,1,1,1,1
Buzz! The BIG,Buzz! The Mega Quiz,8.0,Buzz! The Mega Quiz Review - IGN,https://www.ign.com/articles/2007/10/30/buzz-the-mega-quiz-review,7.5,Buzz!: The Mega Quiz Review - GameSpot,https://www.gamespot.com/reviews/buzz-the-mega-quiz-review/1900-6181926/,,,,,,,"All that said, I wholeheartedly recommend Buzz! The Mega Quiz. It's easy to get into, there are enough topics so that everyone can have a chance, you can customize what rounds come up, and you get your own buzzer. That's awesome, and the whole package is just $40. If you have a bunch of trivia junkies in your crew, this one's a winner.",Wide range of questions. Lots of variety to the game types. Buzzer controller is cool. Might not be accessible to anyone under 20. No online play or leaderboards. Easy to damage controllers while opening packaging. ,-,-,7.75,"There are enough topics so that everyone can have a chance. You can customize what rounds come up, and you get your own buzzer. No online play or leaderboards.",1,1,1,1,2
Buzz! The BIG,Buzz! The Music Quiz,,,,,Buzz! The Music Quiz - Review - GameFAQs,https://gamefaqs.gamespot.com/ps2/928436-buzz-the-music-quiz/reviews/110334,,,,,,,-,-,-,-,,,1,1,1,1,0
Buzz! The BIG,Buzz! The Schools Quiz,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Buzz! The BIG,Buzz! The Ultimate Music Quiz,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
CSGO Player Profiles,CSGO Player Profiles - Device,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
CSGO Player Profiles,CSGO Player Profiles - Edward,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
CSGO Player Profiles,CSGO Player Profiles - Fallen,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
CSGO Player Profiles,CSGO Player Profiles - Get_Right,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
CSGO Player Profiles,CSGO Player Profiles - KennyS,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
CSGO Player Profiles,CSGO Player Profiles - Markeloff,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
CSGO Player Profiles,CSGO Player Profiles - N0thing,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
CSGO Player Profiles,CSGO Player Profiles - Olofmeister,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
CSGO Player Profiles,CSGO Player Profiles - Taz,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
CSGO Player Profiles,CSGO Player Profiles,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Call of Duty,Call of Cthulhu Dark Corners of the Earth,,,,7.9,Call of Cthulhu: Dark Corners of the Earth Review - GameSpot,https://www.gamespot.com/reviews/call-of-cthulhu-dark-corners-of-the-earth-review/1900-6148890/,,,,,,,-,"Great mix of adventure, exploration, action, and stealth mechanics. Creepy, compelling storyline. Invisible interface adds to immersion. Some outstanding audio. Intense chase sequences. A straight port of the Xbox version that could have been enhanced for the PC. Stealth and shooting sequences are relatively unimpressive on their own. Visuals look fairly dated at times. ",-,-,7.9,"Great mix of adventure, exploration, action, and stealth mechanics. Creepy, compelling storyline. Invisible interface adds to immersion. Some outstanding audio. Intense chase sequences.",1,1,1,1,1
Call of Duty,Call of Duty 4 Modern Warfare,9.4,Call of Duty 4: Modern Warfare Review - IGN,https://www.ign.com/articles/2007/11/06/call-of-duty-4-modern-warfare-review,9.0,Call of Duty 4: Modern Warfare Review - GameSpot,https://www.gamespot.com/reviews/call-of-duty-4-modern-warfare-review/1900-6182425/,,,,,,,"Call of Duty 4: Modern Warfare is a fantastic game. The single-player experience is easily Infinity Ward's best work to date. Calling it intense may be an understatement. The overall story is standard action movie fare, but the relationships built over the short five hours of play are surprisingly strong. Though the single-player lacks length, the multiplayer should keep you invested in COD4 for the long winter. This is a truly fantastic multiplayer offering that's as deep as any other online game available.

Infinity Ward has done it again. Call of Duty 4 is a winner.",High-quality story mode packs in a lot of thrilling and unexpected moments. Well-designed multiplayer progression gives you something to shoot for online. Terrific audiovisual presentation. Campaign mode is much shorter than those of the average shooter. ,-,-,9.2,The single-player experience is easily Infinity Ward's best work to date. The relationships built over the short five hours of play are surprisingly strong. This is a truly fantastic multiplayer offering that's as deep as any other online game.,1,1,1,1,2
Call of Duty,Call of Duty Advanced Warfare - Multiplayer,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Call of Duty,Call of Duty Advanced Warfare,9.1,Call of Duty: Advanced Warfare Review - IGN,https://www.ign.com/articles/2014/11/03/call-of-duty-advanced-warfare-review,8.0,Call of Duty: Advanced Warfare Review - GameSpot,https://www.gamespot.com/reviews/call-of-duty-advanced-warfare-review/1900-6415933/,8.0,'Call of Duty: Advanced Warfare' Review - Game Rant,https://gamerant.com/call-of-duty-advanced-warfare-review/,7.4,Call of Duty: Advanced Warfare review - PC Gamer,https://www.pcgamer.com/call-of-duty-advanced-warfare-review/,"Simply throwing a robot suit onto Call of Duty could have been a lazy path to making Advanced Warfare seem different from what we’ve played before, but the way Sledgehammer has integrated its enhanced abilities and choices into every aspect of how we fight went above and beyond. By designing the levels in the campaign, co-op, and multiplayer to facilitate those new mechanics, Advanced Warfare is granted a weight and importance that changes how the fast-paced shooting action feels in all three modes. This is a Call of Duty game to its core, but one that rehashes as little as possible while still retaining its strengths.",Content-rich multiplayer offers a wealth of opportunities to learn the new move set. Effective introduction with an imaginative two-chapter tutorial. Futuristic combat tech and gear are a treat to use. Entertaining Uplink mode takes great advantage of the exosuit. Inconsistent narrative prevents the campaign from being fully engaging. Shallow difficulty curve can make for tedious co-op survival. ,-,"The campaign is predictable, dumb fun, and the multiplayer is some of Call of Dutys bestbut still subject to every existing criticism of CoD.",8.12,Futuristic combat tech and gear are a treat to use. Inconsistent narrative prevents the campaign from being fully engaging. Shallow difficulty curve can make for tedious co-op survival.,1,1,1,1,4
Call of Duty,Call of Duty Black Ops - Multiplayer OSX,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Call of Duty,Call of Duty Black Ops - Multiplayer,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Call of Duty,Call of Duty Black Ops - OSX,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
Call of Duty,Call of Duty Black Ops II - Multiplayer,,,,,,,,,,,,,-,-,-,-,,,1,1,1,1,0
